HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Common name	Female maturity (days)	Male maturity (days)	Gestation/Incubation (days)	Weaning (days)	Litter/Clutch size	Litters/Clutches per year	Inter-litter/Interbirth interval	Birth weight (g)	Weaning weight (g)	Adult weight (g)	Growth rate (1/days)	Maximum longevity (yrs)	Source	Specimen origin	Sample size	Data quality	IMR (per yr)	MRDT (yrs)	Metabolic rate (W)	Body mass (g)	Temperature (K)	References
02011	Animalia	Chordata	Mammalia	Chiroptera	Pteropodidae	Pteropus	hypomelanus	Variable flying fox					1	1				450		20.3	671	captivity	medium	acceptable			1.618	520.8	308.85	36,420,434,671,971
02012	Animalia	Chordata	Mammalia	Chiroptera	Pteropodidae	Pteropus	livingstonii	Comoro black flying fox			152		1			137		696.5		15	671	captivity	medium	acceptable						671,730,978
02013	Animalia	Chordata	Mammalia	Chiroptera	Pteropodidae	Pteropus	lylei	Lyle's flying fox										316.7		20.4	671	captivity	medium	acceptable						671,730
02014	Animalia	Chordata	Mammalia	Chiroptera	Pteropodidae	Pteropus	niger	Greater mascarene flying fox					1					456.3		19.4	671	captivity	small	acceptable						671,730,971
02015	Animalia	Chordata	Mammalia	Chiroptera	Pteropodidae	Pteropus	poliocephalus	Gray-headed flying fox	540	540	190		1	1		80		675		23.6	671	captivity	medium	acceptable			1.768	598	309.65	36,420,455,671,971
02016	Animalia	Chordata	Mammalia	Chiroptera	Pteropodidae	Pteropus	pselaphon	Bonin flying fox					1							16.7	671	captivity	small	acceptable						671,971
02017	Animalia	Chordata	Mammalia	Chiroptera	Pteropodidae	Pteropus	pumilus	Little golden-mantled flying fox						2				200		17.2	671	captivity	medium	acceptable			0.705	194.2	309.25	36,420,671,971
02018	Animalia	Chordata	Mammalia	Chiroptera	Pteropodidae	Pteropus	rodricensis	Rodriguez flying fox			198		1	1		45		350		28	671	captivity	large	acceptable			0.753	254.5	309.65	36,420,424,455,671,971
02019	Animalia	Chordata	Mammalia	Chiroptera	Pteropodidae	Pteropus	scapulatus	Little red flying fox	540	540			1	1				300		15.8	671	captivity	small	acceptable			1.353	362	310.15	36,420,455,671,971
02020	Animalia	Chordata	Mammalia	Chiroptera	Pteropodidae	Pteropus	vampyrus	Large flying fox					1	1				872		20.9	671	captivity	medium	acceptable			4.486	1024.3	310.05	36,420,434,455,671,971
02021	Animalia	Chordata	Mammalia	Chiroptera	Pteropodidae	Pteropus	voeltzkowi	Pemba flying fox			152		1	1				527.5				unknown	tiny	low						671,730,971,978
02022	Animalia	Chordata	Mammalia	Chiroptera	Pteropodidae	Rousettus	aegyptiacus	Egyptian rousette	365	365	116	122	1	2		21.06	73.8	125	0.0149	22.9	424	wild	large	acceptable			0.684	146	307.95	36,420,424,434,455,731,971
02023	Animalia	Chordata	Mammalia	Chiroptera	Pteropodidae	Rousettus	lanosus	Long-haired rousette						2				103		18.7	671	captivity	medium	acceptable						671,730,971
02024	Animalia	Chordata	Mammalia	Chiroptera	Pteropodidae	Rousettus	leschenaultii	Leschenault's rousette	150	455	115		1	2		12		108.25		14	671	captivity	medium	acceptable						424,434,455,671,971
02025	Animalia	Chordata	Mammalia	Chiroptera	Rhinolophidae	Rhinolophus	euryale	Mediterranean horseshoe bat	821	821	90		1	1		3.89		8.2		13	970	unknown	medium	questionable						970,971,978
02026	Animalia	Chordata	Mammalia	Chiroptera	Rhinolophidae	Rhinolophus	ferrumequinum	Greater horseshoe bat	730	730	80	60	1	1	365	5.8		22.875		30.5	1	wild	medium	acceptable						1,424,434,455,477,971
02027	Animalia	Chordata	Mammalia	Chiroptera	Rhinolophidae	Rhinolophus	hipposideros	Lesser horseshoe bat	500	471	67	35	1	1	365	2.1		4.6		29.4	970	wild	large	acceptable						424,455,970,971,978
02028	Animalia	Chordata	Mammalia	Chiroptera	Rhinolophidae	Rhinolophus	megaphyllus	Smaller horseshoe bat	730	730	128	61	1	1				9.8				unknown	small	low						424,434,455,563,971
02029	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Antrozous	pallidus	Pallid bat	365	365	62	50	2			3.1		20.8	0.0543	14.8	671	captivity	small	acceptable			0.104	22	307.15	36,420,424,434,455,478,671,730,731
02030	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Barbastella	barbastellus	Western barbastelle					2	1	365			10.25		23	424	wild	medium	acceptable						424,434,455,978
02031	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Corynorhinus	rafinesquii	Rafinesque's big-eared bat	182	182	53		1	1	365	2.5		11.1				unknown	small	low						424,434,455,971
02032	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Corynorhinus	townsendii	Townsend's big-eared bat			78	42	1	1	365	2.4		14.25		20.5	424	wild	medium	acceptable						424,434,441,455,971
02033	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Eptesicus	fuscus	Big brown bat	547	730	35		2	1	365	3.9	17.2	23	0.062	19	424	wild	medium	acceptable			0.113	13.3	309.15	36,420,424,441,455,715,731,912,971,1136
02034	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Eptesicus	nilssonii	Northern bat					1.5	1	365	4.52		13		20	970	wild	medium	acceptable						424,434,455,970,971,978
02035	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Eptesicus	serotinus	Serotine			68		1.5	1		5.3		18.2	0.0487	21	970	wild	medium	acceptable						424,434,455,731,970,971
02036	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Lasionycteris	noctivagans	Silver-haired bat	152	152	55	36	2	1	365	1.67		10		12	1	wild	medium	acceptable						1,424,434,441,455,971
02037	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Lasiurus	cinereus	Hoary bat			56	34	2	1	365	5.5	9.5	24		14	424	wild	medium	acceptable					307.95	424,434,442,455,971,1032
02038	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	bechsteinii	Bechstein's bat					1	1	365			10.5		21	970	wild	medium	acceptable						424,455,542,970,978
02039	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	blythii	Lesser mouse-eared bat					1					23		33	424	wild	medium	acceptable						424,455
02040	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	brandtii	Brandt's bat										7		41	424	wild	medium	acceptable						60,424,477,1127
02041	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	dasycneme	Pond bat					1					15		20.5	424	wild	medium	acceptable						424,971
02042	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	daubentonii	Daubenton's bat	730	730	54		1	1		2.09		8.5		28	424	wild	medium	acceptable						424,455,477,479,971
02043	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	emarginatus	Geoffroy's bat	456	456			1	1	365			11		22.7	424	wild	medium	acceptable						424,455,971
02044	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	evotis	Western long-eared myotis					1	1	365	1.22		7.4		22	424	wild	medium	acceptable						424,441,455,971
02045	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	grisescens	Gray myotis	456	456			1	1	365	2.9		9.25	0.0964	16.5	1	wild	medium	acceptable						1,424,441,455,731,971
02046	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	keenii	Keen's myotis					1	1	365			7.4		19	424	wild	medium	acceptable						424,441,455,971
02047	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	leibii	Eastern small-footed myotis					1	1	365			5.6		12	424	wild	medium	acceptable						424,455,978
02048	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	lucifugus	Little brown bat	210	210	55	25	1	1	365	1.96		10	0.116	34	424	wild	medium	acceptable			0.051	5.8	305.15	36,74,178,295,424,428,434,441,455,477,731,777,971,1051,1136
02049	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	myotis	Mouse-eared bat	502	502	65	42	1	1	365	5.9		28.55	0.109	37.1	970	wild	large	acceptable					308.15	424,434,455,565,731,970,971,1048,1265
02050	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	mystacinus	Whiskered bat	365	456			1		365			5.3		24	424	wild	medium	acceptable						424,455,564
02051	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	nattereri	Natterer's bat				60	1	1	365			7.5		23.7	970	wild	medium	acceptable						424,455,565,970,971
02052	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	nigricans	Black myotis	98	98	55	38	1	2		1	3.7	4.2		7	1	wild	medium	acceptable			0.027	3.7	307.15	1,36,420,424,434,455,730,971
02053	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	sodalis	Indiana bat					1	1		4.53		7.7		20	424	wild	medium	acceptable						424,441,455,978
02054	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	thysanodes	Fringed myotis			55	21	1	1	365	1.32		6	0.0108	18.3	1	wild	medium	acceptable					306.15	1,424,434,441,455,731,971,1051
02055	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	velifer	Cave myotis	365	365	65	43	1	1	365	3.2		10.1	0.13	11.3	424	wild	medium	acceptable			0.04	11.9		36,424,434,441,455,730,731,906,971,1093
02056	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	vivesi	Fish-eating bat					1			2.82		25		10	1	unknown	medium	acceptable			0.199	25	309.15	1,36,424,455,978,1032
02057	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	volans	Long-legged myotis	152				1	1	365	2.01		7		21	424	wild	medium	acceptable						424,441,455,971,978
02058	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	yumanensis	Yuma myotis					1	1	365	0.79		6.25		14	984	wild	medium	acceptable			0.047	5		36,424,441,455,971,978,984
02059	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Nyctalus	leisleri	Lesser noctule					1.5	1	365			16		16	424	wild	medium	acceptable						424,455,978
02060	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Nyctalus	noctula	Noctule	90	455	60		1.5	1		5.37		27.75	0.0303	12	424	wild	medium	acceptable						424,434,455,542,731,971
02061	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Nycticeius	humeralis	Evening bat				30	2	1	365	1.75	2.6	9.75	0.0157	6	424	wild	medium	acceptable					307.15	424,434,455,731,971,1032
02062	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Perimyotis	subflavus	Eastern pipistrelle	212		44		2	1	365	0.94	5.2	7.5		14.8	1	wild	medium	acceptable						1,424,434,441,455,971,1143
02063	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	kuhlii	Kuhl's pipistrelle				60	1.5		365			6		8	424	wild	medium	acceptable						424,455
02064	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	nathusii	Nathusius's pipistrelle	91	91			2	1				10		11	424	wild	medium	acceptable						424,455,971
02065	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	pipistrellus	Common pipistrelle	456	456	42	42	1.2	1	365	1.125		5	0.0668	16.6	970	wild	medium	acceptable	0.36	4				2,424,455,542,731,970,971
02066	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Plecotus	auritus	Brown big-eared bat	365	365	65	42	1.33	1	365	2.09		7.8		30	424	wild	medium	acceptable			0.082	10.2	307.15	36,420,424,434,455,730,971,978
02067	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Plecotus	austriacus	Gray big-eared bat										12		25.5	970	wild	medium	acceptable						424,434,565,970
02068	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Scotorepens	balstoni	Western broad-nosed bat			210	29	1.5			2.4	5.6	11.7		9.7	671	captivity	small	acceptable						455,671,730
02069	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Vespertilio	murinus	Particolored bat	730	730	50		2	1	365			18.7		14.5	970	wild	medium	questionable						134,455,477,730,970,971
02070	Animalia	Chordata	Mammalia	Cingulata	Dasypodidae	Cabassous	centralis	Northern naked-tailed armadillo					1					2750				unknown	small	low			4.812	4061.7	306.75	36,420,434,455,610,671
02071	Animalia	Chordata	Mammalia	Cingulata	Dasypodidae	Cabassous	unicinctus	Southern naked-tailed armadillo					1			100		3500				unknown	small	low						434,671,978
02072	Animalia	Chordata	Mammalia	Cingulata	Dasypodidae	Chaetophractus	nationi	Andean hairy armadillo					1.5					2150				unknown	tiny	low			3.118	2150	308.65	36,420,610,671
02073	Animalia	Chordata	Mammalia	Cingulata	Dasypodidae	Chaetophractus	vellerosus	Screaming hairy armadillo										840		16.2	671	captivity	small	acceptable			1.707	1110	307.55	36,420,434,671,1136
02074	Animalia	Chordata	Mammalia	Cingulata	Dasypodidae	Chaetophractus	villosus	Large hairy armadillo	273	273	67	56	2	1		128		3000	0.0207	25.2	671	captivity	medium	acceptable			4.508	4540	308.25	36,420,434,455,610,671,731,978
02075	Animalia	Chordata	Mammalia	Cingulata	Dasypodidae	Chlamyphorus	truncatus	Pink fairy armadillo										44.3				unknown	small	low						671,730
02076	Animalia	Chordata	Mammalia	Cingulata	Dasypodidae	Dasypus	novemcinctus	Nine-banded armadillo	365	365	133	137	4	1		66		5500		22.3	671	captivity	medium	acceptable			4.655	3413.7	307.65	36,420,434,455,538,542,610,671,680
02077	Animalia	Chordata	Mammalia	Cingulata	Dasypodidae	Dasypus	septemcinctus	Seven-banded armadillo	274		132		6					1475		16.8	671	captivity	small	questionable						455,542,610,671
02078	Animalia	Chordata	Mammalia	Cingulata	Dasypodidae	Euphractus	sexcinctus	Six-banded armadillo	274	274	68	28	2			105	420	4850		22.1	671	captivity	medium	acceptable			6.901	8190	307.35	36,420,434,455,610,671
02079	Animalia	Chordata	Mammalia	Cingulata	Dasypodidae	Priodontes	maximus	Giant armadillo	320	320	122	35	1.5			62.15		33000		15	671	captivity	small	acceptable			16.892	45190	306.75	36,420,434,455,671
02080	Animalia	Chordata	Mammalia	Cingulata	Dasypodidae	Tolypeutes	matacus	Southern three-banded armadillo	320	320	120	55	1	1		80		1500	0.0362	36.8	John Gramieri, pers. comm.	captivity	small	acceptable			1.172	1160	306.15	36,420,455,542,610,731
02081	Animalia	Chordata	Mammalia	Cingulata	Dasypodidae	Tolypeutes	tricinctus	Brazilian three-banded armadillo					1	1				1200				unknown	tiny	low						434,455,978
02082	Animalia	Chordata	Mammalia	Cingulata	Dasypodidae	Zaedyus	pichiy	Pichi	320	320	60	42	2			105		1500		12.5	671	captivity	small	acceptable			2.192	1740	308.35	36,434,455,671,1032
02083	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Antechinomys	laniger	Kultarr	350	350	12	90	6	1.5	183			24		3.5	671	captivity	small	acceptable			0.141	25.8	308.95	36,420,434,455,671,978
02084	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Antechinus	agilis	Agile antechinus	330		27	90	10		365		10	18		4.7	671	captivity	tiny	acceptable						522,671
02085	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Antechinus	bellus	Fawn antechinus	350		30	96	13	1	365			34		3.4	671	captivity	small	acceptable						455,522,671,978
02086	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Antechinus	flavipes	Yellow-footed antechinus	345		25	90	7	1	365			45	0.0351	3.9	671	captivity	small	acceptable			0.252	46.5	308.15	36,420,434,455,522,671,730,731,978
02087	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Antechinus	leo	Cinnamon antechinus	350		31	77	9	1	365	0.04	26	54				unknown	small	low						455,522,978
02088	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Antechinus	minimus	Swamp antechinus	345		28	105	7.4	1	365	0.04		42				unknown	small	low						469,522,978
02089	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Antechinus	stuartii	Brown antechinus	285	285	30	106	7	1	365	0.016	16	27.5		5.4	671	captivity	small	acceptable			0.189	25	308.25	2,14,23,36,213,420,434,455,469,481,522,671,730,733,978
02090	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Antechinus	swainsonii	Dusky antechinus	330		28	94	8	1	365		15	41		3.3	671	captivity	small	acceptable			0.351	66.9	309.15	36,522,671,978,1032
02091	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Dasycercus	cristicauda	Mulgara	315	315	38	121	7	1	365		22	115		7.4	671	captivity	small	acceptable			0.26	91	310.85	36,434,455,522,542,671,978,1032
02092	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Dasykaluta	rosamondae	Little red kaluta	300		50	113	6.3	1	365		8.2	30				unknown	small	low						522,978,1143
02093	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Dasyuroides	byrnei	Kowari	238	216	33	102	6	2	167	0.027	45	105		8	671	captivity	small	acceptable			0.439	100	308.35	36,420,434,455,671,978
02094	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Dasyurus	geoffroii	Western quoll	365		16	158	6	1	365	0.011		890		6.2	671	captivity	small	acceptable			2.991	1326.7	309.35	36,522,671,978,1032
02095	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Dasyurus	hallucatus	Northern quoll	315	315		90	6.8	1	365			525		5.9	671	captivity	small	acceptable			1.501	571	309.05	36,420,434,455,542,671,781,978
02096	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Dasyurus	maculatus	Australian tiger cat	340	340	21	135	3	1	365		500	5500		6.8	671	captivity	small	acceptable			3.142	1782	310.05	36,420,455,509,671,730,978
02097	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Dasyurus	viverrinus	Eastern quoll	335	335	20	168	6	1	365	0.02	600	1090		6.8	671	captivity	small	acceptable			2.26	945.3	309.05	36,211,420,434,455,522,671,730,978
02098	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Ningaui	ridei	Wongai ningaui	290		14	91	6	2	365	0.005		8.5				unknown	small	low						434,522,978
02099	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Ningaui	timealeyi	Pilbara ningaui			14	78	6	2	365	0.005	2.5	10.5				unknown	small	low						434,455,542,978
02100	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Parantechinus	apicalis	Southern dibbler	315	315	48	122	8	1	365			70		5.5	671	captivity	small	acceptable						434,455,542,671,978
02101	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Phascogale	calura	Red-tailed phascogale	330		29	90	7.5	1	365			43		4.7	671	captivity	medium	acceptable						522,671,978,1143
02102	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Phascogale	tapoatafa	Brush-tailed phascogale	365	365	29	122	6.4	1	365		70	193.5		5.9	671	captivity	small	acceptable			0.694	153.7	310.55	36,420,434,455,522,671,730,978
02103	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Planigale	gilesi	Paucident planigale	240		16	75	6.1	2	341	0.01	5.8	6.9				unknown	small	low			0.058	9.1	308.25	36,420,455,522,978
02104	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Planigale	ingrami	Long-tailed planigale				90	7	2				4.3				unknown	tiny	low			0.065	8.8	307.65	36,455,522,978,1032
02105	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Planigale	maculata	Pygmy planigale	290		20	71	7.65	2	91		4.85	10		5.8	671	captivity	small	acceptable			0.067	10.6	307.65	36,420,455,522,671,978
02106	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Planigale	tenuirostris	Narrow-nosed planigale	240		19	95	6	2	332		2.7	5.3		5.2	671	captivity	small	acceptable			0.063	7.1	307.65	36,420,522,671,978
02107	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Pseudantechinus	bilarni	Sandstone dibbler	180	180	39	122	4	1	365			28				unknown	small	low						434,455,522,542,978
02108	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Pseudantechinus	macdonnellensis	Fat-tailed marsupial mouse	350	350	43	106	6	1	365	0.0123		32.5		7	671	captivity	small	acceptable			0.152	43.1	307.35	36,420,434,455,522,671,730,978
02109	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Pseudantechinus	ningbing	Ningbing pseudantechinus	330		45	112	4		365			17.5				unknown	small	low						522
02110	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Pseudantechinus	woolleyae	Woolley's pseudantechinus	300				6					38				unknown	small	low						522,671
02111	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Sarcophilus	harrisii	Tasmanian devil	730	730	26	243	3	1	365	0.0235	200	6500		13	671	captivity	medium	acceptable			8.664	6126.8	308.95	36,211,420,434,455,671,978
02112	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Sminthopsis	crassicaudata	Fat-tailed dunnart	115	159	14	69	7	2	94	0.01	6.5	15		5	671	captivity	small	acceptable			0.121	16	308.35	36,420,434,455,671,730,817,978
02113	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Sminthopsis	dolichura	Little long-tailed dunnart	255				7.2		365		4	12.4				unknown	small	low						522
02114	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Sminthopsis	douglasi	Julia Creek dunnart					6.8					55				unknown	small	low						434,671,730,978
02115	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Sminthopsis	griseoventer	Gray-bellied dunnart										17.5		3.6	671	captivity	small	acceptable						671,730
02116	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Sminthopsis	macroura	Stripe-faced dunnart	119	159	12	70	4	2	183	0.01	7	20		4.9	671	captivity	small	acceptable			0.128	20.6	306.45	36,420,434,455,522,671,730,978
02117	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Sminthopsis	ooldea	Ooldea dunnart	300		21	70	7.25		365		4.8	11				unknown	small	low						434,522
02118	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Sminthopsis	virginiae	Red-cheeked dunnart	230		15	80	2.5		91		19	34		5.3	671	captivity	tiny	acceptable						455,522,671
02119	Animalia	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Sminthopsis	youngsoni	Lesser hairy-footed dunnart					5.5		365			10		5.3	671	captivity	small	acceptable						522,671
02120	Animalia	Chordata	Mammalia	Dasyuromorphia	Myrmecobiidae	Myrmecobius	fasciatus	Numbat			14	243	4		365			471.5		11	671	captivity	small	acceptable			0.907	438.2	305.65	36,420,434,455,671,730,978
02121	Animalia	Chordata	Mammalia	Dermoptera	Cynocephalidae	Cynocephalus	volans	Philippine flying lemur			105	193	1			38.5		1300				unknown	small	low						434,455
02122	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Caluromys	derbianus	Central American woolly opossum	240	240			3					330		8.7	671	captivity	small	acceptable			1.194	342.7	308.15	36,420,455,671
02123	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Caluromys	philander	Bare-tailed woolly opossum	304		24	100	4.5	2	166	0.2	11	350		8.9	671	captivity	tiny	acceptable						434,455,671,817,978
02124	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Caluromysiops	irrupta	Black-shouldered opossum					2					250				unknown	small	low						434,455,671,730
02125	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Chironectes	minimus	Water opossum (yapok)	304				4		365			700		3.1	671	captivity	small	acceptable			2.793	940.5	308.15	36,420,434,455,671,978
02126	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Didelphis	albiventris	White-eared opossum	365	365	12	117	5	1	260			904				unknown	small	low						434,455,522,730
02127	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Didelphis	aurita	Big-eared opossum	170			100	6.2					850		4	671	captivity	small	acceptable						522,671
02128	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Didelphis	marsupialis	Southern opossum	178	240	12	94	6	2	200	0.2	96	1530		4.2	671	captivity	small	acceptable			3.31	1244.3	308.15	36,420,455,522,671
02129	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Didelphis	virginiana	Virginia opossum	184	243	12	102	15	2	122	0.147	142.5	3000	0.0129	6.6	671	captivity	medium	acceptable			5.299	2846.6	308.15	36,420,434,455,473,671,695,731,978,1136,1143
02130	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Gracilinanus	agilis	Paraguayan slender mouse opossum					12					22		6.1	671	captivity	small	acceptable						671,730,978
02131	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Lutreolina	crassicaudata	Lutrine opossum			14		8	2				370		2.9	671	captivity	small	acceptable			2.265	812	308.95	36,420,434,455,671,978
02132	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Marmosa	mexicana	Mexican mouse opossum			14		11					49.5				unknown	small	low						455,542,671,730
02133	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Marmosa	murina	Murine mouse opossum			13	62	8.4			0.09		26		3.6	671	captivity	small	questionable						455,671,730
02134	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Marmosa	robinsoni	Robinson's mouse opossum	279	365	14	68	10	1.5	134	0.1	11	75		5	434	captivity	small	acceptable			0.547	122	307.15	36,420,434,455,522,978
02135	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Marmosops	noctivagus	Rio Napo mouse opossum										21		4.5	671	captivity	small	acceptable						671,730
02136	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Metachirus	nudicaudatus	Brown four-eyed opossum					5		365			440		3	671	captivity	small	acceptable			1.144	336	308.15	36,420,434,522,671
02137	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Monodelphis	adusta	Sepia short-tailed opossum										35		4.1	671	captivity	small	acceptable						671,730
02138	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Monodelphis	brevicaudata	Short bare-tailed opossum	180	180			7	1.5				90		3.9	671	captivity	tiny	acceptable			0.366	91.5	306.85	36,420,434,455,522,671
02139	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Monodelphis	domestica	Gray short-tailed opossum	122	122	15	53	9	4	53	0.1	20.3	105		5.1	671	captivity	medium	acceptable			0.335	104	305.75	36,96,420,434,455,481,671,978
02140	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Philander	andersoni	Black four-eyed opossum										320				unknown	small	low						1,434
02141	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Philander	opossum	Gray four-eyed opossum	450			82	5	3	106	0.2	110	450		4.4	671	captivity	small	acceptable			1.886	751	308.95	36,420,434,455,522,671,978
02142	Animalia	Chordata	Mammalia	Diprotodontia	Acrobatidae	Acrobates	pygmaeus	Pygmy gliding possum	240	365		99	3	2	114	0.0178	5.65	13	0.0254	8.8	671	captivity	large	high			0.084	14	307.85	36,420,434,455,671,731,978
02143	Animalia	Chordata	Mammalia	Diprotodontia	Acrobatidae	Distoechurus	pennatus	Feather-tailed possum					1					51.5				unknown	small	low						434,455,522
02144	Animalia	Chordata	Mammalia	Diprotodontia	Burramyidae	Burramys	parvus	Mountain pygmy possum	320	320	15	60	3.5	1	365		22	45		12	522	unknown	medium	acceptable			0.205	44.3	309.25	36,420,434,455,522,978
02145	Animalia	Chordata	Mammalia	Diprotodontia	Burramyidae	Cercartetus	caudatus	Long-tailed pygmy possum	460			77	2.85	2	183		12	30				unknown	small	low						522,978
